benchmark,sequence,condition,degradation,severity,seed,baseline_auc,hpc_rgssb_auc,auc_change,baseline_mean_iou,hpc_rgssb_mean_iou,mean_iou_change,baseline_precision_20,hpc_precision_20,precision_20_change,baseline_center_error,hpc_center_error,center_error_change,best_model,outcome,note
NFS,nfs_basketball_player_2,motion_blur_medium,motion_blur,medium,42,0.473775,0.528128,+0.054353,0.471617,0.527234,+0.055617,0.526316,0.581236,+0.054920,81.572108,57.774610,-23.797498,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_basketball_player_2,low_resolution_medium,low_resolution,medium,42,0.720076,0.710107,-0.009969,0.721997,0.711686,-0.010311,0.794050,0.787185,-0.006865,24.941967,26.244177,+1.302210,baseline,neutral,near neutral by AUC
NFS,nfs_basketball_player_2,gaussian_noise_medium,gaussian_noise,medium,42,0.747717,0.621882,-0.125835,0.749866,0.621777,-0.128089,0.828375,0.677346,-0.151029,21.177836,51.112615,+29.934779,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_car_drifting,clean,clean,none,0,0.844331,0.848109,+0.003778,0.847651,0.851549,+0.003898,0.988439,0.959538,-0.028901,8.366749,9.563293,+1.196544,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car_drifting,motion_blur_medium,motion_blur,medium,42,0.843931,0.841527,-0.002404,0.847061,0.845197,-0.001864,0.982659,0.976879,-0.005780,8.589713,9.721121,+1.131408,baseline,neutral,near neutral by AUC
NFS,nfs_car_drifting,low_resolution_medium,low_resolution,medium,42,0.844846,0.848795,+0.003949,0.848327,0.852016,+0.003689,0.988439,0.971098,-0.017341,8.190432,9.254112,+1.063680,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car_drifting,gaussian_noise_medium,gaussian_noise,medium,42,0.851542,0.855720,+0.004178,0.855256,0.858950,+0.003694,0.924855,0.947977,+0.023122,9.060339,9.936221,+0.875882,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_car_jumping,clean,clean,none,0,0.722772,0.714221,-0.008551,0.725279,0.715638,-0.009641,0.909091,0.909091,+0.000000,11.460337,11.699206,+0.238869,baseline,neutral,near neutral by AUC
NFS,nfs_car_jumping,motion_blur_medium,motion_blur,medium,42,0.735374,0.719172,-0.016202,0.737794,0.720692,-0.017102,0.909091,0.909091,+0.000000,11.230602,11.903066,+0.672464,baseline,neutral,near neutral by AUC
NFS,nfs_car_jumping,low_resolution_medium,low_resolution,medium,42,0.724122,0.715572,-0.008550,0.725648,0.718542,-0.007106,0.909091,0.909091,+0.000000,11.740174,11.759442,+0.019268,baseline,neutral,near neutral by AUC
NFS,nfs_car_jumping,gaussian_noise_medium,gaussian_noise,medium,42,0.711521,0.713321,+0.001800,0.713639,0.715708,+0.002069,0.909091,0.909091,+0.000000,11.451495,11.688733,+0.237238,hpc_rgssb,neutral,near neutral by AUC
NFS,nfs_cheetah,clean,clean,none,0,0.540819,0.518646,-0.022173,0.539864,0.517574,-0.022290,0.431138,0.389222,-0.041916,70.287422,74.762291,+4.474869,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_cheetah,motion_blur_medium,motion_blur,medium,42,0.557005,0.519772,-0.037233,0.557328,0.519901,-0.037427,0.431138,0.347305,-0.083833,70.582593,65.238265,-5.344328,baseline,drop,OSTrack baseline improves AUC
NFS,nfs_cheetah,low_resolution_medium,low_resolution,medium,42,0.519832,0.516986,-0.002846,0.519185,0.516131,-0.003054,0.425150,0.407186,-0.017964,75.587972,69.129503,-6.458469,baseline,neutral,near neutral by AUC
NFS,nfs_cheetah,gaussian_noise_medium,gaussian_noise,medium,42,0.536195,0.530503,-0.005692,0.535307,0.529257,-0.006050,0.491018,0.425150,-0.065868,74.399424,80.941060,+6.541636,baseline,neutral,near neutral by AUC
NFS,nfs_horse_running,clean,clean,none,0,0.719638,0.741150,+0.021512,0.722310,0.743885,+0.021575,0.568345,0.640288,+0.071943,19.074408,17.754687,-1.319721,hpc_rgssb,gain,RG-SSB improves AUC
NFS,nfs_horse_running,motion_blur_medium,motion_blur,medium,42,0.715792,0.742859,+0.027067,0.718046,0.745390,+0.027344,0.517986,0.661871,+0.143885,19.422707,17.674621,-1.748086,hpc_rgssb,gain,RG-SSB improves AUC
